Text,Translation,Language,Category
Difficulty breathing?,Respirazione difficoltosa?,Italian,Symptoms
Do you have diarrhoea? How many times a day?,Hai la diarrea? Quante volte al giorno?,Italian,Symptoms
Rash?,Eruzione cutanea?,Italian,Symptoms
"Any pain? Specifically, any chest pain?","Nessun dolore? In particolare, qualsiasi dolore al petto?",Italian,Symptoms
Point to the place.,Puntare al luogo.,Italian,Symptoms
Do you have any past medical history?,Avete qualche storia medica?,Italian,Medical Conditions
Please point to which ones.,Si prega di indicare quali.,Italian,Medical Conditions
Asthma,Asma,Italian,Medical Conditions
Pneumonia,Polmonite,Italian,Medical Conditions
Hypertension,Ipertensione,Italian,Medical Conditions
Hyperlipidemia,iperlipidemia,Italian,Medical Conditions
Diabetes,Diabete,Italian,Medical Conditions
Heart problems,Problemi di cuore,Italian,Medical Conditions
Kidney problems,problemi renali,Italian,Medical Conditions
Loss of taste,Perdita del gusto,Italian,Symptoms
Lost of Smell,Perso di Smell,Italian,Symptoms
Do you have a drug allergy?,Avete un'allergia ai farmaci?,Italian,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?","Fumi? Se si, quante sigarette al giorno?",Italian,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","Bevi? Se sì, quanto (numero di bottiglie di una settimana, tipo di alcool)?",Italian,Medical Conditions
"If you have any other problems, you can tell me in English.","Se avete altri problemi, mi si può dire in inglese.",Italian,Medical Conditions
I’m going to examine you.,Ho intenzione di esaminare voi.,Italian,Medical Instructions
Tell me if you feel more pain.,Dimmi se si sente più dolore.,Italian,Medical Instructions
Please remove your shirt.,Si prega di rimuovere la camicia.,Italian,Medical Instructions
Keep taking deep breaths through your mouth.,Continuare a prendere respiri profondi attraverso la bocca.,Italian,Medical Instructions
"Say ""99"" when I listen with my stethoscope.","Dire ""99"" quando ascolto con il mio stetoscopio.",Italian,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,Ho intenzione di mettere questo batuffolo di cotone nella narice. Vi sentirete strano ma non è doloroso,Italian,Medical Instructions
This is to test for coronavirus,Questo è quello di prova per coronavirus,Italian,Medical Instructions
Tilt your head back,Inclinare la schiena testa,Italian,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.","Se positiva coronavirus, che noi chiamiamo il telefono entro domani.",Italian,Medical Instructions
"If coronavirus negative, we send you SMS (text) after 3 days","Se coronavirus negativo, vi inviamo SMS (testo) dopo 3 giorni",Italian,Medical Instructions
"Later, you will do an X-ray","In seguito, si farà una radiografia",Italian,Medical Instructions
There is no sign of infection on your X-ray,Non v'è alcun segno di infezione sul tuo X-ray,Italian,Medical Instructions
You can go back soon.,È possibile tornare indietro al più presto.,Italian,Medical Instructions
"Wait here, do not leave this area","Aspetta qui, non lasciare questa zona",Italian,Medical Instructions
You have to stay in the hospital for a few days,Devi rimanere in ospedale per qualche giorno,Italian,Medical Instructions
We need to transfer you to another location.,Abbiamo bisogno per il trasferimento in un altro luogo.,Italian,Medical Instructions
I'll give you medicine to make you feel better,Ti darò la medicina per farvi sentire meglio,Italian,Medical Instructions
You must not work for next 5 days.,Non devi lavorare per i prossimi 5 giorni.,Italian,Medical Instructions
You must come back if you have problems with breathing.,È necessario tornare se avete problemi con la respirazione.,Italian,Medical Instructions
You must come back if you do not recover completely after 5 days,È necessario tornare indietro se non recuperare completamente dopo 5 giorni,Italian,Medical Instructions
Read the handout carefully,Leggere con attenzione il volantino,Italian,Medical Instructions
Thank you,Grazie,Italian,Greetings
Good morning / afternoon / evening,Buon giorno / pomeriggio / sera,Italian,Greetings
I am the nurse,Io sono l'infermiera,Italian,Greetings
I am the doctor,Io sono il medico,Italian,Greetings
You are in the intensive care unit.,Sei nel reparto di terapia intensiva.,Italian,Medical Instructions
Today is Monday,Oggi è lunedì,Italian,Greetings
Today is Tuesday,Oggi è martedì,Italian,Greetings
Today is Wednesday,Oggi è mercoledì,Italian,Greetings
Today is Thursday,Oggi è giovedi,Italian,Greetings
Today is Friday,Oggi è venerdì,Italian,Greetings
Today is Saturday,Oggi è sabato,Italian,Greetings
Today is Sunday,Oggi è domenica,Italian,Greetings
You are getting better,Si stanno migliorando,Italian,Greetings
We will remove the breathing tube when you are better,Provvederemo a rimuovere il tubo di respirazione quando si sta meglio,Italian,Medical Instructions
You can talk after we remove the breathing tube,Si può parlare dopo togliamo il tubo di respirazione,Italian,Medical Instructions
Take a deep breath,Fai un respiro profondo,Italian,Medical Instructions
Give me a big cough,Datemi un grande colpo di tosse,Italian,Medical Instructions
Don’t struggle,Non lottare,Italian,Medical Instructions
Don’t move,Non ti muovere,Italian,Medical Instructions
Lift up your arm,Sollevare il braccio,Italian,Medical Instructions
Lift up your leg,Sollevare la gamba,Italian,Medical Instructions
Squeeze my hand,Stringere la mano,Italian,Medical Instructions
Show me two fingers,Mostrami due dita,Italian,Medical Instructions
Open your mouth,Apri la bocca,Italian,Medical Instructions
Stick out your tongue,Tira fuori la lingua,Italian,Medical Instructions
Open your eyes,Apri gli occhi,Italian,Medical Instructions
I’m going to shine a light into your eyes. It will be bright.,Io vado a brillare una luce negli occhi. Sarà brillante.,Italian,Medical Instructions
Your lungs are weak. We are going to insert a breathing tube to help you breathe,I suoi polmoni sono deboli. Stiamo per inserire un tubo di respirazione per aiutare a respirare,Italian,Medical Instructions
You are going to sleep now,Si sta andando a dormire,Italian,Medical Instructions
We are turning you onto your belly to help your lungs expand,Ti stiamo imboccando la pancia per aiutare i vostri polmoni si espandono,Italian,Medical Instructions
We are inserting a tube to help you pass urine,Stiamo inserimento di un tubo per aiutarti a passare l'urina,Italian,Medical Instructions
We are inserting a tube through your nose,Stiamo inserimento di un tubo attraverso il naso,Italian,Medical Instructions
We are going to give you an injection in your neck to give you medications,Stiamo per dare un'iniezione nel collo per dare farmaci,Italian,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure,Stiamo per dare un'iniezione nel braccio per misurare la pressione sanguigna,Italian,Medical Instructions
We will give you sleeping medications.,Vi daremo i farmaci per dormire.,Italian,Medical Instructions
We will give you painkillers.,Vi daremo antidolorifici.,Italian,Medical Instructions
We are giving you medication to keep your blood pressure up.,Ti diamo il farmaco per mantenere la pressione sanguigna in su.,Italian,Medical Instructions
We are going to remove the breathing tube.,Stiamo per rimuovere il tubo di respirazione.,Italian,Medical Instructions
We are going to suck out your phlegm,Stiamo andando a succhiare il vostro catarro,Italian,Medical Instructions
We are going to clean you with a sponge,Stiamo andando a pulire con una spugna,Italian,Medical Instructions
Turn left,Girare a sinistra,Italian,Medical Instructions
Turn right,Girare a destra,Italian,Medical Instructions
We will change your diapers,Cambieremo i vostri pannolini,Italian,Medical Instructions
Lift up your leg,Sollevare la gamba,Italian,Medical Instructions
We are going to sit you up,Stiamo andando a sedersi in su,Italian,Medical Instructions
We are going to shift you up the bed,Ci accingiamo a spostare in sul letto,Italian,Medical Instructions
We are going to clean your mouth,Stiamo andando a pulire la bocca,Italian,Medical Instructions
Do not swallow the gargle,Non ingoiare il gargarismo,Italian,Medical Instructions
I am a doctor. I do not speak Spanish. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,"Sou um médico. Eu não falo espanhol. Vou comunicar com você usando este site. Responda-me em Inglês, tanto quanto possível. Obrigado.",Portugese,Greetings
What's your name?,¿Como te llamas?,Portugese,Greetings
Please give me your Identitification Card / Work Permit,"Por favor, dame tu permiso de trabajo / Tarjeta Identitification",Portugese,Greetings
"In the last 14 days, did you meet anyone who has coronavirus?","En los últimos 14 días, se conocieron cualquier persona que tenga coronavirus?",Portugese,Contact with Others
Who? What is your relationship with them?,¿OMS? ¿Cuál es su relación con ellos?,Portugese,Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),¿Cuántos días hace que dejó de reunirse con ellos? (Hay una tabla de números en la barra lateral si no pueden responder),Portugese,Contact with Others
How long were you with him/her?,¿Cuánto tiempo estuvo con él / ella?,Portugese,Contact with Others
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.","En los últimos 14 días, viajaste fuera de Singapur? Si es así, nos dicen los países en Inglés.",Portugese,Contact with Others
Do you have a fever?,¿Tienes fiebre?,Portugese,Symptoms
"How many days?
(You may use this for multiple symptoms)","¿Cuántos días?
(Usted puede usar esto para múltiples síntomas)",Portugese,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?","Se ha medido con un termómetro? Si es así, ¿cuál fue la lectura más alta?",Portugese,Symptoms
Runny nose?,¿Nariz que moquea?,Portugese,Symptoms
Cough?,¿Tos?,Portugese,Symptoms
Sore throat?,¿Dolor de garganta?,Portugese,Symptoms
Difficulty breathing?,¿Respiración dificultosa?,Portugese,Symptoms
Do you have diarrhoea? How many times a day?,¿Tiene diarrea? ¿Cuántas veces al día?,Portugese,Symptoms
Rash?,¿Erupción?,Portugese,Symptoms
"Any pain? Specifically, any chest pain?","¿Cualquier dolor? En concreto, cualquier dolor en el pecho?",Portugese,Symptoms
Point to the place.,Apuntar al lugar.,Portugese,Symptoms
Do you have any past medical history?,¿Tiene alguna historia médica pasada?,Portugese,Medical Conditions
Please point to which ones.,Por favor apuntar a cuáles.,Portugese,Medical Conditions
Asthma,Asma,Portugese,Medical Conditions
Pneumonia,Neumonía,Portugese,Medical Conditions
Hypertension,Hipertensión,Portugese,Medical Conditions
Hyperlipidemia,hiperlipidemia,Portugese,Medical Conditions
Diabetes,Diabetes,Portugese,Medical Conditions
Heart problems,Problemas del corazón,Portugese,Medical Conditions
Kidney problems,Problemas de riñon,Portugese,Medical Conditions
Loss of taste,Pérdida del gusto,Portugese,Symptoms
Lost of Smell,Perdida del olfato,Portugese,Symptoms
Do you have a drug allergy?,¿Tiene una alergia a medicamentos?,Portugese,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?","¿Fumas? Si sí, ¿cuántos cigarrillos al día?",Portugese,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","¿Tu bebes? Si es así, ¿cuánto (número de botellas a la semana, tipo de alcohol)?",Portugese,Medical Conditions
"If you have any other problems, you can tell me in English.","Si tiene cualquier otro problema, puede decirme en Inglés.",Portugese,Medical Conditions
I’m going to examine you.,Voy a examinarle.,Portugese,Medical Instructions
Tell me if you feel more pain.,Dime si se siente más dolor.,Portugese,Medical Instructions
Please remove your shirt.,"Por favor, elimine la camisa.",Portugese,Medical Instructions
Keep taking deep breaths through your mouth.,Mantener al respirar profundamente por la boca.,Portugese,Medical Instructions
"Say ""99"" when I listen with my stethoscope.","Decir ""99"" cuando escucho con mi estetoscopio.",Portugese,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,"Voy a poner este bastoncillo de algodón en su fosa nasal. Usted se sentirá extraño, pero no es doloroso",Portugese,Medical Instructions
This is to test for coronavirus,Esto es a prueba de coronavirus,Portugese,Medical Instructions
Tilt your head back,Incline la cabeza de la espalda,Portugese,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.","Si es positivo coronavirus, que llamamos su teléfono para mañana.",Portugese,Medical Instructions
"If coronavirus negative, we send you SMS (text) after 3 days","Si es negativo coronavirus, que le enviamos SMS (texto) después de 3 días",Portugese,Medical Instructions
"Later, you will do an X-ray","Más tarde, que va a hacer una radiografía",Portugese,Medical Instructions
There is no sign of infection on your X-ray,No hay ninguna señal de infección en su X-ray,Portugese,Medical Instructions
You can go back soon.,Puede volver pronto.,Portugese,Medical Instructions
"Wait here, do not leave this area","Espera aquí, no deje esta área",Portugese,Medical Instructions
You have to stay in the hospital for a few days,Usted tiene que permanecer en el hospital durante unos días,Portugese,Medical Instructions
We need to transfer you to another location.,Necesitamos para trasladarlos a otro lugar.,Portugese,Medical Instructions
I'll give you medicine to make you feel better,Te voy a dar la medicina para que se sienta mejor,Portugese,Medical Instructions
You must not work for next 5 days.,No se debe trabajar para los próximos 5 días.,Portugese,Medical Instructions
You must come back if you have problems with breathing.,Debe volver si usted tiene problemas con la respiración.,Portugese,Medical Instructions
You must come back if you do not recover completely after 5 days,Debe volver si no se recupera completamente después de 5 días,Portugese,Medical Instructions
Read the handout carefully,Lea cuidadosamente el folleto,Portugese,Medical Instructions
Thank you,Gracias,Portugese,Greetings
Good morning / afternoon / evening,Buena mañana tarde noche,Portugese,Greetings
I am the nurse,Soy la enfermera,Portugese,Greetings
I am the doctor,Yo soy el médico,Portugese,Greetings
You are in the intensive care unit.,Usted está en la unidad de cuidados intensivos.,Portugese,Medical Instructions
Today is Monday,Hoy es Lunes,Portugese,Greetings
Today is Tuesday,Hoy es martes,Portugese,Greetings
Today is Wednesday,Hoy es Miercoles,Portugese,Greetings
Today is Thursday,Hoy es Jueves,Portugese,Greetings
Today is Friday,Hoy es viernes,Portugese,Greetings
Today is Saturday,Hoy es sábado,Portugese,Greetings
Today is Sunday,Hoy es domingo,Portugese,Greetings
You are getting better,Estás mejorando,Portugese,Greetings
We will remove the breathing tube when you are better,Vamos a retirar el tubo de respiración cuando usted es mejor,Portugese,Medical Instructions
You can talk after we remove the breathing tube,Se puede hablar después de retirar el tubo de respiración,Portugese,Medical Instructions
Take a deep breath,Tomar una respiración profunda,Portugese,Medical Instructions
Give me a big cough,Dame un gran tos,Portugese,Medical Instructions
Don’t struggle,No luches,Portugese,Medical Instructions
Don’t move,No se mueva,Portugese,Medical Instructions
Lift up your arm,Levante el brazo,Portugese,Medical Instructions
Lift up your leg,Levante la pierna,Portugese,Medical Instructions
Squeeze my hand,Aprieta mi mano,Portugese,Medical Instructions
Show me two fingers,me muestran dos dedos,Portugese,Medical Instructions
Open your mouth,Abre la boca,Portugese,Medical Instructions
Stick out your tongue,Saca la lengua,Portugese,Medical Instructions
Open your eyes,Abre tus ojos,Portugese,Medical Instructions
I’m going to shine a light into your eyes. It will be bright.,Voy a brillar una luz en sus ojos. Será brillante.,Portugese,Medical Instructions
Your lungs are weak. We are going to insert a breathing tube to help you breathe,Sus pulmones son débiles. Vamos a insertar un tubo de respiración para ayudarle a respirar,Portugese,Medical Instructions
You are going to sleep now,Te vas a dormir ahora,Portugese,Medical Instructions
We are turning you onto your belly to help your lungs expand,Le estamos dando vuelta sobre su vientre para ayudar a sus pulmones se expanden,Portugese,Medical Instructions
We are inserting a tube to help you pass urine,Estamos insertando un tubo para ayudarle a pasar la orina,Portugese,Medical Instructions
We are inserting a tube through your nose,Estamos insertando un tubo por la nariz,Portugese,Medical Instructions
We are going to give you an injection in your neck to give you medications,Vamos a darle una inyección en el cuello para darle medicamentos,Portugese,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure,Vamos a darle una inyección en el brazo para medir la presión sanguínea,Portugese,Medical Instructions
We will give you sleeping medications.,Le daremos medicamentos para dormir.,Portugese,Medical Instructions
We will give you painkillers.,Le daremos analgésicos.,Portugese,Medical Instructions
We are giving you medication to keep your blood pressure up.,Le estamos dando medicamentos para mantener su presión arterial para arriba.,Portugese,Medical Instructions
We are going to remove the breathing tube.,Vamos a quitar el tubo de respiración.,Portugese,Medical Instructions
We are going to suck out your phlegm,Vamos a chupar su flema,Portugese,Medical Instructions
We are going to clean you with a sponge,Vamos a que limpiar con una esponja,Portugese,Medical Instructions
Turn left,gire a la izquierda,Portugese,Medical Instructions
Turn right,Girar a la derecha,Portugese,Medical Instructions
We will change your diapers,Vamos a cambiar los pañales,Portugese,Medical Instructions
Lift up your leg,Levante la pierna,Portugese,Medical Instructions
We are going to sit you up,Nos vamos a sentar para arriba,Portugese,Medical Instructions
We are going to shift you up the bed,Vamos a cambiar hacia arriba que la cama,Portugese,Medical Instructions
We are going to clean your mouth,Vamos a limpiar la boca,Portugese,Medical Instructions
Do not swallow the gargle,No se trague el gárgaras,Portugese,Medical Instructions
I am a doctor. I do not speak German. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,Ich bin ein Arzt. Ich spreche kein Deutsch. Ich werde mit Ihnen kommunizieren dieser Website nutzen. Antwortet mich auf Englisch so viel wie möglich. Danke.,German,Greetings
What's your name?,Wie heißen Sie?,German,Greetings
Please give me your Identitification Card / Work Permit,Bitte geben Sie mir Ihre Identitification Karte / Arbeitserlaubnis,German,Greetings
"In the last 14 days, did you meet anyone who has coronavirus?","In den letzten 14 Tagen hat treffen Sie jemanden, der corona hat?",German,Contact with Others
Who? What is your relationship with them?,WHO? Was ist Ihre Beziehung zu ihnen?,German,Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),"Wie viele Tage haben Sie sich ihnen? (Es gibt eine Reihe Diagramm in der Seitenleiste, wenn sie nicht beantworten kann)",German,Contact with Others
How long were you with him/her?,Wie waren Sie lange mit ihm / ihr?,German,Contact with Others
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.","In den letzten 14 Tagen haben Sie Ihre Reise von Singapur aus? Wenn ja, sagen Sie uns die Länder in englischer Sprache.",German,Contact with Others
Do you have a fever?,Hast du Fieber?,German,Symptoms
"How many days?
(You may use this for multiple symptoms)","Wie viele Tage?
(Sie können dies für mehrere Symptome verwenden)",German,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?","Haben Sie messen mit einem Thermometer? Wenn ja, was war der höchste Wert?",German,Symptoms
Runny nose?,Laufende Nase?,German,Symptoms
Cough?,Husten?,German,Symptoms
Sore throat?,Halsentzündung?,German,Symptoms
Difficulty breathing?,Schwierigkeiten beim Atmen?,German,Symptoms
Do you have diarrhoea? How many times a day?,Haben Sie Durchfall? Wie oft am Tag?,German,Symptoms
Rash?,Ausschlag?,German,Symptoms
"Any pain? Specifically, any chest pain?",Jeder Schmerz? Insbesondere jede Schmerzen in der Brust?,German,Symptoms
Point to the place.,Zeigen Sie auf den Platz.,German,Symptoms
Do you have any past medical history?,Sie haben keine Vorerkrankungen?,German,Medical Conditions
Please point to which ones.,Bitte weisen auf welche.,German,Medical Conditions
Asthma,Asthma,German,Medical Conditions
Pneumonia,Lungenentzündung,German,Medical Conditions
Hypertension,Hypertonie,German,Medical Conditions
Hyperlipidemia,Hyperlipidämie,German,Medical Conditions
Diabetes,Diabetes,German,Medical Conditions
Heart problems,Herzprobleme,German,Medical Conditions
Kidney problems,Nierenprobleme,German,Medical Conditions
Loss of taste,Verlust des Geschmacks,German,Symptoms
Lost of Smell,Verloren Geruch,German,Symptoms
Do you have a drug allergy?,Haben Sie eine Arzneimittelallergie haben?,German,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?","Rauchen Sie? Wenn ja, wie viele Zigaretten pro Tag?",German,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","Trinken Sie? Wenn ja, wie viel (Anzahl der Flaschen pro Woche Art von Alkohol)?",German,Medical Conditions
"If you have any other problems, you can tell me in English.","Wenn Sie irgendwelche anderen Probleme haben, können Sie mich auf Englisch sagen.",German,Medical Conditions
I’m going to examine you.,Ich werde dich untersuchen.,German,Medical Instructions
Tell me if you feel more pain.,"Sagen Sie mir, wenn Sie mehr Schmerz fühlen.",German,Medical Instructions
Please remove your shirt.,Bitte entfernen Sie Ihr T-Shirt.,German,Medical Instructions
Keep taking deep breaths through your mouth.,Halten Sie nehmen tiefe Atemzüge durch den Mund.,German,Medical Instructions
"Say ""99"" when I listen with my stethoscope.","Sagen Sie „99“, wenn ich mit meinem Stethoskop hören.",German,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,"Ich werde diese Wattestäbchen in die Nase setzen. Sie werden ein seltsames Gefühl, aber es ist nicht schmerzhaft",German,Medical Instructions
This is to test for coronavirus,Dies ist zum Test für corona,German,Medical Instructions
Tilt your head back,Beugen Sie den Kopf zurück,German,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.","Wenn corona positiv, rufen wir Sie Ihr Telefon von morgen.",German,Medical Instructions
"If coronavirus negative, we send you SMS (text) after 3 days","Wenn corona negativ ist, senden wir Ihnen SMS (Text) nach 3 Tagen",German,Medical Instructions
"Later, you will do an X-ray",Später werden Sie ein Röntgen tun,German,Medical Instructions
There is no sign of infection on your X-ray,Es gibt keine Anzeichen einer Infektion auf Ihrem Röntgen,German,Medical Instructions
You can go back soon.,Sie können bald zurückgehen.,German,Medical Instructions
"Wait here, do not leave this area","Warten Sie hier, nicht verlassen diesen Bereich",German,Medical Instructions
You have to stay in the hospital for a few days,Sie haben im Krankenhaus für ein paar Tage zu bleiben,German,Medical Instructions
We need to transfer you to another location.,Wir müssen Sie übertragen an einen anderen Ort.,German,Medical Instructions
I'll give you medicine to make you feel better,Ich werde dir Medizin geben Ihnen besser zu fühlen,German,Medical Instructions
You must not work for next 5 days.,Sie müssen nicht für nächsten 5 Tage arbeiten.,German,Medical Instructions
You must come back if you have problems with breathing.,"Sie müssen zurückkommen, wenn Sie Probleme mit der Atmung haben.",German,Medical Instructions
You must come back if you do not recover completely after 5 days,"Sie müssen zurückkommen, wenn Sie nach 5 Tagen nicht vollständig erholen",German,Medical Instructions
Read the handout carefully,Lesen Sie das Handout sorgfältig,German,Medical Instructions
Thank you,Vielen Dank,German,Greetings
Good morning / afternoon / evening,Guten Morgen / Tag / Abend,German,Greetings
I am the nurse,Ich bin die Krankenschwester,German,Greetings
I am the doctor,Ich bin der Doktor,German,Greetings
You are in the intensive care unit.,Sie sind in der Intensivstation.,German,Medical Instructions
Today is Monday,Heute ist Montag,German,Greetings
Today is Tuesday,Heute ist Dienstag,German,Greetings
Today is Wednesday,Heute ist Mittwoch,German,Greetings
Today is Thursday,Heute ist Donnerstag,German,Greetings
Today is Friday,Heute ist Freitag,German,Greetings
Today is Saturday,Heute ist Samstag,German,Greetings
Today is Sunday,Heute ist Sonntag,German,Greetings
You are getting better,Du wirst besser,German,Greetings
We will remove the breathing tube when you are better,"Wir werden den Atemschlauch entfernen, wenn Sie besser sind",German,Medical Instructions
You can talk after we remove the breathing tube,"Sie können sprechen, nachdem wir den Atemschlauch entfernen",German,Medical Instructions
Take a deep breath,Tief durchatmen,German,Medical Instructions
Give me a big cough,Gib mir einen großen Husten,German,Medical Instructions
Don’t struggle,Nicht kämpfen,German,Medical Instructions
Don’t move,Bewegen Sie sich nicht,German,Medical Instructions
Lift up your arm,Heben Sie Ihren Arm,German,Medical Instructions
Lift up your leg,Heben Sie Ihr Bein,German,Medical Instructions
Squeeze my hand,Squeeze meine Hand,German,Medical Instructions
Show me two fingers,Zeigen Sie mir zwei Finger,German,Medical Instructions
Open your mouth,Öffne deinen Mund,German,Medical Instructions
Stick out your tongue,Haften Sie Ihre Zunge heraus,German,Medical Instructions
Open your eyes,Öffne deine Augen,German,Medical Instructions
I’m going to shine a light into your eyes. It will be bright.,Ich werde ein Licht in die Augen glänzen. Es wird hell sein.,German,Medical Instructions
Your lungs are weak. We are going to insert a breathing tube to help you breathe,Ihre Lungen sind schwach. Wir werden einen Atemschlauch einzulegen Sie atmen helfen,German,Medical Instructions
You are going to sleep now,Du gehst jetzt schlafen,German,Medical Instructions
We are turning you onto your belly to help your lungs expand,Wir wenden Sie auf Ihren Bauch Lunge erweitern helfen,German,Medical Instructions
We are inserting a tube to help you pass urine,Wir sind zu einem Schlauch Hilfe Einsetzen passieren Sie Urin,German,Medical Instructions
We are inserting a tube through your nose,Wir Einsetzen einer Röhre durch die Nase,German,Medical Instructions
We are going to give you an injection in your neck to give you medications,"Wir werden Ihnen eine Spritze in den Hals, um Ihnen Medikamente zu geben,",German,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure,"Wir werden Ihnen eine Spritze in den Arm geben, Ihren Blutdruck zu messen",German,Medical Instructions
We will give you sleeping medications.,Wir geben Ihnen schlafen Medikamente.,German,Medical Instructions
We will give you painkillers.,Wir werden Ihnen Schmerzmittel geben.,German,Medical Instructions
We are giving you medication to keep your blood pressure up.,Wir geben Ihnen Medikamente den Blutdruck zu halten.,German,Medical Instructions
We are going to remove the breathing tube.,Wir werden den Atemschlauch zu entfernen.,German,Medical Instructions
We are going to suck out your phlegm,Wir werden Ihre Phlegma herauszusaugen,German,Medical Instructions
We are going to clean you with a sponge,Wir werden Sie mit einem Schwamm reinigen,German,Medical Instructions
Turn left,Biegen Sie links ab,German,Medical Instructions
Turn right,Biegen Sie rechts ab,German,Medical Instructions
We will change your diapers,Wir werden Ihre Windeln wechseln,German,Medical Instructions
Lift up your leg,Heben Sie Ihr Bein,German,Medical Instructions
We are going to sit you up,Wir werden Sie sitzen,German,Medical Instructions
We are going to shift you up the bed,Wir werden Sie auf dem Bett verschieben,German,Medical Instructions
We are going to clean your mouth,Wir werden den Mund reinigen,German,Medical Instructions
Do not swallow the gargle,Nicht schlucken das Gurgeln,German,Medical Instructions
I am a doctor. I do not speak Malay. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,Saya seorang doktor. Saya tidak bercakap Melayu. Saya akan berkomunikasi dengan anda menggunakan laman web ini. Jawapan saya dalam bahasa Inggeris sebanyak mungkin. Terima kasih.,Malay,Greetings
What's your name?,Apa nama anda?,Malay,Greetings
Please give me your Identitification Card / Work Permit,Sila berikan saya Permit Kerja / Kad Identitification anda,Malay,Greetings
"In the last 14 days, did you meet anyone who has coronavirus?","Dalam 14 hari yang lalu, adakah anda bertemu sesiapa sahaja yang mempunyai coronavirus?",Malay,Contact with Others
Who? What is your relationship with them?,Who? Apakah hubungan anda dengan mereka?,Malay,Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),Berapa hari yang lalu adakah anda bertemu dengan mereka? (Terdapat carta nombor dalam bar sisi jika mereka tidak dapat menjawab),Malay,Contact with Others
How long were you with him/her?,Berapa lama anda dengan dia / dia?,Malay,Contact with Others
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.","Dalam 14 hari yang lalu, adakah anda melancong ke luar Singapura? Jika ya, beritahu kami negara-negara dalam bahasa Inggeris.",Malay,Contact with Others
Do you have a fever?,Adakah anda mempunyai demam?,Malay,Symptoms
"How many days?
(You may use this for multiple symptoms)","Berapa hari?
(Anda boleh menggunakan ini untuk pelbagai simptom)",Malay,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?","Adakah anda mengukurnya dengan termometer? Jika anda lakukan, apa yang bacaan yang paling tinggi?",Malay,Symptoms
Runny nose?,Hidung berair?,Malay,Symptoms
Cough?,Batuk?,Malay,Symptoms
Sore throat?,Sakit tekak?,Malay,Symptoms
Difficulty breathing?,Kesukaran bernafas?,Malay,Symptoms
Do you have diarrhoea? How many times a day?,Adakah anda mengalami cirit-birit? Berapa kali sehari?,Malay,Symptoms
Rash?,Rash?,Malay,Symptoms
"Any pain? Specifically, any chest pain?","Sakit? Secara khusus, sakit dada?",Malay,Symptoms
Point to the place.,Menunjukkan tempat itu.,Malay,Symptoms
Do you have any past medical history?,Adakah anda mempunyai apa-apa sejarah perubatan lalu?,Malay,Medical Conditions
Please point to which ones.,Sila menunjukkan yang mana.,Malay,Medical Conditions
Asthma,asma,Malay,Medical Conditions
Pneumonia,Pneumonia,Malay,Medical Conditions
Hypertension,tekanan darah tinggi,Malay,Medical Conditions
Hyperlipidemia,hiperlipidemia,Malay,Medical Conditions
Diabetes,diabetes,Malay,Medical Conditions
Heart problems,Masalah jantung,Malay,Medical Conditions
Kidney problems,masalah buah pinggang,Malay,Medical Conditions
Loss of taste,Kehilangan rasa,Malay,Symptoms
Lost of Smell,Hilang Bau,Malay,Symptoms
Do you have a drug allergy?,Adakah anda mempunyai alahan ubat?,Malay,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?","Adakah anda merokok? Jika ya, berapa banyak rokok sehari?",Malay,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","Adakah kamu minum? Jika ya, berapa banyak (bilangan botol seminggu, jenis alkohol)?",Malay,Medical Conditions
